Date,DateKey,Year,Quarter,QuarterName,Month,MonthName,MonthShort,WeekOfYear,DayOfWeek,DayName,IsWeekend,YearMonth
2008-01-01,20080101,2008,1,Q1,1,January,Jan,1,2,Tuesday,False,2008-01
2008-01-02,20080102,2008,1,Q1,1,January,Jan,1,3,Wednesday,False,2008-01
2008-01-03,20080103,2008,1,Q1,1,January,Jan,1,4,Thursday,False,2008-01
2008-01-04,20080104,2008,1,Q1,1,January,Jan,1,5,Friday,False,2008-01
2008-01-05,20080105,2008,1,Q1,1,January,Jan,1,6,Saturday,True,2008-01
2008-01-06,20080106,2008,1,Q1,1,January,Jan,1,7,Sunday,True,2008-01
2008-01-07,20080107,2008,1,Q1,1,January,Jan,2,1,Monday,False,2008-01
2008-01-08,20080108,2008,1,Q1,1,January,Jan,2,2,Tuesday,False,2008-01
2008-01-09,20080109,2008,1,Q1,1,January,Jan,2,3,Wednesday,False,2008-01
2008-01-10,20080110,2008,1,Q1,1,January,Jan,2,4,Thursday,False,2008-01
2008-01-11,20080111,2008,1,Q1,1,January,Jan,2,5,Friday,False,2008-01
2008-01-12,20080112,2008,1,Q1,1,January,Jan,2,6,Saturday,True,2008-01
2008-01-13,20080113,2008,1,Q1,1,January,Jan,2,7,Sunday,True,2008-01
2008-01-14,20080114,2008,1,Q1,1,January,Jan,3,1,Monday,False,2008-01
2008-01-15,20080115,2008,1,Q1,1,January,Jan,3,2,Tuesday,False,2008-01
2008-01-16,20080116,2008,1,Q1,1,January,Jan,3,3,Wednesday,False,2008-01
2008-01-17,20080117,2008,1,Q1,1,January,Jan,3,4,Thursday,False,2008-01
2008-01-18,20080118,2008,1,Q1,1,January,Jan,3,5,Friday,False,2008-01
2008-01-19,20080119,2008,1,Q1,1,January,Jan,3,6,Saturday,True,2008-01
2008-01-20,20080120,2008,1,Q1,1,January,Jan,3,7,Sunday,True,2008-01
2008-01-21,20080121,2008,1,Q1,1,January,Jan,4,1,Monday,False,2008-01
2008-01-22,20080122,2008,1,Q1,1,January,Jan,4,2,Tuesday,False,2008-01
2008-01-23,20080123,2008,1,Q1,1,January,Jan,4,3,Wednesday,False,2008-01
2008-01-24,20080124,2008,1,Q1,1,January,Jan,4,4,Thursday,False,2008-01
2008-01-25,20080125,2008,1,Q1,1,January,Jan,4,5,Friday,False,2008-01
2008-01-26,20080126,2008,1,Q1,1,January,Jan,4,6,Saturday,True,2008-01
2008-01-27,20080127,2008,1,Q1,1,January,Jan,4,7,Sunday,True,2008-01
2008-01-28,20080128,2008,1,Q1,1,January,Jan,5,1,Monday,False,2008-01
2008-01-29,20080129,2008,1,Q1,1,January,Jan,5,2,Tuesday,False,2008-01
2008-01-30,20080130,2008,1,Q1,1,January,Jan,5,3,Wednesday,False,2008-01
2008-01-31,20080131,2008,1,Q1,1,January,Jan,5,4,Thursday,False,2008-01
2008-02-01,20080201,2008,1,Q1,2,February,Feb,5,5,Friday,False,2008-02
2008-02-02,20080202,2008,1,Q1,2,February,Feb,5,6,Saturday,True,2008-02
2008-02-03,20080203,2008,1,Q1,2,February,Feb,5,7,Sunday,True,2008-02
2008-02-04,20080204,2008,1,Q1,2,February,Feb,6,1,Monday,False,2008-02
2008-02-05,20080205,2008,1,Q1,2,February,Feb,6,2,Tuesday,False,2008-02
2008-02-06,20080206,2008,1,Q1,2,February,Feb,6,3,Wednesday,False,2008-02
2008-02-07,20080207,2008,1,Q1,2,February,Feb,6,4,Thursday,False,2008-02
2008-02-08,20080208,2008,1,Q1,2,February,Feb,6,5,Friday,False,2008-02
2008-02-09,20080209,2008,1,Q1,2,February,Feb,6,6,Saturday,True,2008-02
2008-02-10,20080210,2008,1,Q1,2,February,Feb,6,7,Sunday,True,2008-02
2008-02-11,20080211,2008,1,Q1,2,February,Feb,7,1,Monday,False,2008-02
2008-02-12,20080212,2008,1,Q1,2,February,Feb,7,2,Tuesday,False,2008-02
2008-02-13,20080213,2008,1,Q1,2,February,Feb,7,3,Wednesday,False,2008-02
2008-02-14,20080214,2008,1,Q1,2,February,Feb,7,4,Thursday,False,2008-02
2008-02-15,20080215,2008,1,Q1,2,February,Feb,7,5,Friday,False,2008-02
2008-02-16,20080216,2008,1,Q1,2,February,Feb,7,6,Saturday,True,2008-02
2008-02-17,20080217,2008,1,Q1,2,February,Feb,7,7,Sunday,True,2008-02
2008-02-18,20080218,2008,1,Q1,2,February,Feb,8,1,Monday,False,2008-02
2008-02-19,20080219,2008,1,Q1,2,February,Feb,8,2,Tuesday,False,2008-02
2008-02-20,20080220,2008,1,Q1,2,February,Feb,8,3,Wednesday,False,2008-02
2008-02-21,20080221,2008,1,Q1,2,February,Feb,8,4,Thursday,False,2008-02
2008-02-22,20080222,2008,1,Q1,2,February,Feb,8,5,Friday,False,2008-02
2008-02-23,20080223,2008,1,Q1,2,February,Feb,8,6,Saturday,True,2008-02
2008-02-24,20080224,2008,1,Q1,2,February,Feb,8,7,Sunday,True,2008-02
2008-02-25,20080225,2008,1,Q1,2,February,Feb,9,1,Monday,False,2008-02
2008-02-26,20080226,2008,1,Q1,2,February,Feb,9,2,Tuesday,False,2008-02
2008-02-27,20080227,2008,1,Q1,2,February,Feb,9,3,Wednesday,False,2008-02
2008-02-28,20080228,2008,1,Q1,2,February,Feb,9,4,Thursday,False,2008-02
2008-02-29,20080229,2008,1,Q1,2,February,Feb,9,5,Friday,False,2008-02
2008-03-01,20080301,2008,1,Q1,3,March,Mar,9,6,Saturday,True,2008-03
2008-03-02,20080302,2008,1,Q1,3,March,Mar,9,7,Sunday,True,2008-03
2008-03-03,20080303,2008,1,Q1,3,March,Mar,10,1,Monday,False,2008-03
2008-03-04,20080304,2008,1,Q1,3,March,Mar,10,2,Tuesday,False,2008-03
2008-03-05,20080305,2008,1,Q1,3,March,Mar,10,3,Wednesday,False,2008-03
