ForecastKey,BrandKey,DateKey,CountryRegion,Forecast
1,1,20090101,China,201487
2,2,20090101,China,399490
3,3,20090101,China,1173308
4,4,20090101,China,790074
5,5,20090101,China,437443
6,6,20090101,China,125153
7,7,20090101,China,567070
8,8,20090101,China,161494
9,9,20090101,China,58013
10,10,20090101,China,192708
11,11,20090101,China,287140
12,1,20090101,Germany,163113
13,2,20090101,Germany,358333
14,3,20090101,Germany,648264
15,4,20090101,Germany,901946
16,5,20090101,Germany,465830
17,6,20090101,Germany,112925
18,7,20090101,Germany,340014
19,8,20090101,Germany,176339
20,9,20090101,Germany,171986
21,10,20090101,Germany,130420
22,11,20090101,Germany,162140
23,1,20090101,United States,1413184
24,2,20090101,United States,4227349
25,3,20090101,United States,5306331
26,4,20090101,United States,6975799
27,5,20090101,United States,3380755
28,6,20090101,United States,673840
29,7,20090101,United States,2285575
30,8,20090101,United States,1305722
31,9,20090101,United States,370525
32,10,20090101,United States,1910593
33,11,20090101,United States,3130149
