SalesKey,ProductKey,CustomerKey,LocationKey,DateKey,Quantity,Net Price,Sales Amount
1,2492,18813,279,20080101,1,23.7405,23.7405
2,1763,4751,44,20080101,1,94.7625,94.7625
3,1763,4760,196,20080101,1,94.7625,94.7625
4,1763,4764,284,20080101,1,94.7625,94.7625
5,1763,4773,82,20080101,1,94.7625,94.7625
6,1763,4774,69,20080101,1,94.7625,94.7625
7,1763,4775,274,20080101,1,94.7625,94.7625
8,1763,4776,255,20080101,1,94.7625,94.7625
9,1763,4777,74,20080101,1,94.7625,94.7625
10,1763,4778,276,20080101,1,94.7625,94.7625
11,1763,4779,262,20080101,1,94.7625,94.7625
12,1763,4781,47,20080101,1,94.7625,94.7625
13,1763,4782,81,20080101,1,94.7625,94.7625
14,1763,4783,286,20080101,1,94.7625,94.7625
15,1763,4815,48,20080101,1,94.7625,94.7625
16,2124,17160,45,20080101,1,422.75,422.75
17,2124,17163,64,20080101,1,422.75,422.75
18,2124,17165,67,20080101,1,422.75,422.75
19,197,17599,80,20080101,1,284.905,284.905
20,197,17600,279,20080101,1,284.905,284.905
21,197,17602,76,20080101,1,284.905,284.905
22,197,17604,79,20080101,1,284.905,284.905
23,197,17605,196,20080101,1,284.905,284.905
24,197,17607,76,20080101,1,284.905,284.905
25,192,5963,62,20080101,1,569.05,569.05
26,192,5964,72,20080101,1,569.05,569.05
27,192,5966,53,20080101,1,569.05,569.05
28,192,5967,69,20080101,1,569.05,569.05
29,192,5968,202,20080101,1,569.05,569.05
30,192,5969,80,20080101,1,569.05,569.05
31,192,5971,274,20080101,1,569.05,569.05
32,1776,15265,87,20080101,1,40.85,40.85
33,1776,15266,196,20080101,1,40.85,40.85
34,1776,15267,255,20080101,1,40.85,40.85
35,1776,15269,45,20080101,1,40.85,40.85
36,1776,15272,80,20080101,1,40.85,40.85
37,1666,13528,83,20080101,1,16.0455,16.0455
38,1666,13529,56,20080101,1,16.0455,16.0455
39,1666,13530,45,20080101,1,16.0455,16.0455
40,1666,13531,258,20080101,1,16.0455,16.0455
41,1666,13999,48,20080101,1,16.0455,16.0455
42,1666,14000,53,20080101,1,16.0455,16.0455
43,1666,14155,47,20080101,1,16.0455,16.0455
44,1666,14156,57,20080101,1,16.0455,16.0455
45,1666,14162,73,20080101,1,16.0455,16.0455
46,1666,14163,86,20080101,1,16.0455,16.0455
47,1666,14170,77,20080101,1,16.0455,16.0455
48,1666,14185,56,20080101,1,16.0455,16.0455
49,1666,14186,78,20080101,1,16.0455,16.0455
50,1666,14192,72,20080101,1,16.0455,16.0455
51,1666,14966,74,20080101,1,16.0455,16.0455
52,1666,14967,80,20080101,1,16.0455,16.0455
53,1666,15058,47,20080101,1,16.0455,16.0455
54,1666,15060,77,20080101,1,16.0455,16.0455
55,1666,15061,82,20080101,1,16.0455,16.0455
56,1666,15062,88,20080101,1,16.0455,16.0455
57,1666,15066,45,20080101,1,16.0455,16.0455
58,1666,15083,68,20080101,1,16.0455,16.0455
59,1666,15084,82,20080101,1,16.0455,16.0455
60,1666,15085,85,20080101,1,16.0455,16.0455
61,1666,15090,44,20080101,1,16.0455,16.0455
62,1666,15091,44,20080101,1,16.0455,16.0455
63,1666,15092,84,20080101,1,16.0455,16.0455
64,1666,15099,87,20080101,1,16.0455,16.0455
65,1666,15107,71,20080101,1,16.0455,16.0455
66,1666,15108,74,20080101,1,16.0455,16.0455
67,1666,15109,82,20080101,1,16.0455,16.0455
68,1666,15204,65,20080101,1,16.0455,16.0455
69,1666,15539,44,20080101,1,16.0455,16.0455
70,1666,15541,56,20080101,1,16.0455,16.0455
71,1666,15594,65,20080101,1,16.0455,16.0455
72,1666,15685,45,20080101,1,16.0455,16.0455
73,1666,15691,47,20080101,1,16.0455,16.0455
74,1666,15692,47,20080101,1,16.0455,16.0455
75,1666,15699,65,20080101,1,16.0455,16.0455
76,1666,15705,46,20080101,1,16.0455,16.0455
77,1666,15706,82,20080101,1,16.0455,16.0455
78,1666,15708,46,20080101,1,16.0455,16.0455
79,1666,15709,53,20080101,1,16.0455,16.0455
80,1666,15723,60,20080101,1,16.0455,16.0455
